"year","movies_count"
1902,2
1903,0
1904,0
1905,0
1906,0
1907,0
1908,2
1909,0
1910,0
1911,12
1912,13
1913,15
1914,9
1915,6
1916,6
1917,8
1918,8
1919,10
1920,8
1921,15
1922,17
1923,14
1924,10
1925,5
1926,8
1927,12
1928,13
1929,19
1930,14
1931,12
1932,15
1933,16
1934,20
1935,15
1936,26
1937,24
1938,25
1939,18
1940,0
1941,1
1942,3
1943,8
1944,6
1945,1
1946,4
1947,5
1948,5
1949,4
1950,4
1951,4
1952,42
1953,9
1954,7
1955,7
1956,14
1957,10
1958,22
1959,15
1960,21
1961,24
1962,27
1963,28
1964,26
1965,24
1966,26
1967,24
1968,21
1969,24
1970,32
1971,27
1972,27
1973,15
1974,31
1975,27
1976,30
1977,29
1978,37
1979,38
1980,35
1981,36
1982,36
1983,42
1984,35
1985,47
1986,32
1987,32
1988,32
1989,33
1990,31
1991,35
1992,30
1993,30
1994,23
1995,37
1996,22
1997,33
1998,20
1999,37
2000,41
2001,38
2002,40
2003,43
2004,36
2005,51
2006,59
2007,43
2008,55
2009,68
2010,55
2011,52
2012,57
2013,41
2014,51
2015,57
2016,70
2017,76
2018,59
2019,68
2020,55
2021,77
2022,85
2023,84
